# Corrected LiDAR trajectory after extrinsic calibration
# timestamp x y theta_in_radians
7.250000 3.629992 -0.005161 -0.000320
7.260000 3.630631 0.001954 -0.000080
7.270000 3.640173 -0.008880 -0.000065
7.280000 3.648061 -0.004336 -0.000083
7.290000 3.642655 -0.000899 0.000054
7.300000 3.648611 -0.005951 -0.000173
7.310000 3.660919 -0.004631 -0.000273
7.320000 3.658601 0.002430 -0.000254
7.330000 3.667927 -0.000434 -0.000214
7.340000 3.681351 -0.000766 -0.000086
7.350000 3.676194 -0.010675 -0.000238
7.360000 3.678840 -0.005557 -0.000193
7.370000 3.692616 -0.000909 -0.000278
7.380000 3.690850 0.007230 -0.000283
7.390000 3.699671 0.000261 -0.000078
7.400000 3.705677 -0.000861 -0.000072
7.410000 3.716538 -0.003754 -0.000201
7.420000 3.715995 -0.005006 -0.000161
7.430000 3.728695 -0.001103 -0.000189
7.440000 3.726372 -0.009458 -0.000106
7.450000 3.726382 -0.004365 -0.000060
7.460000 3.734271 0.000213 -0.000154
7.470000 3.738329 -0.004172 -0.000120
7.480000 3.741230 0.000928 -0.000178
7.490000 3.756029 -0.007454 -0.000007
7.500000 3.750009 -0.003947 -0.000166
7.510000 3.760079 -0.001968 -0.000115
7.520000 3.764444 0.004203 -0.000160
7.530000 3.767068 -0.011243 -0.000125
7.540000 3.777518 0.000423 -0.000252
7.550000 3.772484 -0.002986 -0.000203
7.560000 3.782151 -0.001275 -0.000176
7.570000 3.792013 0.001022 0.000029
7.580000 3.792127 -0.009648 -0.000158
7.590000 3.794379 -0.002593 -0.000111
7.600000 3.804347 0.005572 -0.000267
7.610000 3.810078 0.002564 0.000020
7.620000 3.811594 -0.003786 -0.000277
7.630000 3.817163 -0.007330 -0.000151
7.640000 3.815636 -0.004271 -0.000092
7.650000 3.832159 -0.003710 -0.000190
7.660000 3.831468 -0.006745 -0.000026
7.670000 3.834182 -0.006779 -0.000174
7.680000 3.839833 -0.009003 -0.000180
7.690000 3.846656 -0.002326 -0.000150
7.700000 3.859717 0.004056 -0.000037
